Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1749060,0,0,2270,0.079803962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749124,0,0,779,0.02738647,0,0,0,0,0,0,0,0,0,0,0,0,0.395604396,0,0,0,0.10989011,0,0,0,0,0.494505495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749126,0,0,1209,0.04250352,0.980756392,0,0,0,0,0,0,0,0,0,0,0,0.002279729,0,0,0,0,0,0,0,0,0.014011481,0,0,0,0,0,0,0,0,0.002952397,0,0,0,0,0,0,0,0,0
SRR1749154,0,0,3086,0.108491201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749161,0,0,1316,0.046265205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749171,0,0,1782,0.062647868,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749175,0,0,714,0.025101334,0,0,0,0,0,0,0,0,0,0.661042381,0,0,0,0,0,0,0.034419402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153815532,0,0,0,0,0,0,0,0.075361342,0.075361342
SRR1749182,0,0,782,0.027491938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749183,0,0,796,0.027984121,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749236,0,0,1171,0.041167595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR1749245,0,0,4631,0.162807114,0,0,0.171716009,0,0.130209266,0,0,0,0,0,0.202066233,0,0,0,0,0,0,0,0,0,0,0,0,0.106592107,0,0,0.013415319,0,0,0,0,0,0,0,0,0.094671995,0.068193602,0.08606867,0.127066799,0
SRR1749246,0,0,1108,0.038952771,0,0,0,0,0,0,0,0,0,0,0,0,0.480769231,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0.153846154,0.326923077,0,0,0,0,0,0,0,0
SRR1749268,0,0,736,0.025874765,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749279,0,0,967,0.033995785,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749327,0,0,7038,0.247427439,0.799373099,0,0,0,0.168465449,0,0,0,0.010435218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002782034,0,0,0,0,0,0,0,0,0,0,0,0,0.018944201
SRR1749332,0,0,4086,0.143647132,0.972517556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002141514,0,0,0,0,0,0,0,0.0000662,0,0,0,0,0,0.025274731,0,0,0,0,0,0,0,0,0
SRR1749336,0,0,1189,0.041800401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1749339,0,0,709,0.024925555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
SRR1749341,0,0,1106,0.038882459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941925219,0.058074781,0,0,0,0,0,0,0,0
SRR1749344,0,0,1071,0.037652002,0.774193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096774194,0,0,0,0.129032258,0,0,0,0,0
